radius,betti0_Snapshot,spec0_Snapshot
0.9899,1,0.7639
0.9950,1,0.7639
1.0000,1,0.7639
1.0050,1,0.7639
1.0100,1,0.7639
1.0149,1,0.7639
1.0198,1,0.7639
1.0247,1,0.7639
1.0296,1,0.7639
1.0344,1,0.7639
1.0392,1,0.7639
1.0440,1,0.7639
1.0488,1,0.7639
1.0536,1,0.7639
1.0583,1,0.7639
1.0630,1,0.7639
1.0677,1,0.7639
1.0724,1,0.7639
1.0770,1,0.7639
1.0817,1,0.7639
1.0863,1,0.7639
1.0909,1,0.7639
1.0954,1,0.7639
1.1000,1,0.7639
1.1045,1,0.7639
1.1091,1,0.7639
1.1136,1,0.7639
1.1180,1,0.7639
1.1225,1,0.7639
1.1269,1,0.7639
1.1314,1,0.7639
1.1358,1,0.7639
1.1402,1,0.7639
1.1446,1,0.7639
1.1489,1,0.7639
1.1533,1,0.7639
1.1576,1,0.7639
1.1619,1,0.7639
1.1662,1,0.7639
1.1705,1,0.7639
1.1747,1,0.7639
1.1790,1,0.7639
1.1832,1,1.7251
1.1874,1,1.7251
1.1916,1,1.7251
1.1958,1,1.7251
1.2000,1,1.7251
1.2042,1,1.7251
1.2083,1,1.7251
1.2124,1,1.7251
1.2166,1,1.7251
1.2207,1,1.7251
1.2247,1,1.7251
1.2288,1,1.7251
1.2329,1,1.7251
1.2369,1,1.7251
1.2410,1,1.7251
1.2450,1,1.7251
1.2490,1,1.7251
1.2530,1,1.7251
1.2570,1,1.7251
1.2610,1,1.7251
1.2649,1,1.7251
1.2689,1,1.7251
1.2728,1,1.7251
1.2767,1,1.7251
1.2806,1,1.7251
1.2845,1,1.7251
1.2884,1,1.7251
1.2923,1,1.7251
1.2961,1,1.7251
1.3000,1,1.7251
1.3038,1,1.7251
1.3077,1,1.7251
1.3115,1,1.7251
1.3153,1,1.7251
1.3191,1,1.7251
1.3229,1,1.7251
1.3266,1,1.7251
1.3304,1,1.7251
1.3342,1,1.7251
1.3379,1,1.7251
1.3416,1,1.7251
1.3454,1,1.7251
1.3491,1,1.7251
1.3528,1,1.7251
1.3565,1,1.7251
1.3601,1,1.7251
1.3638,1,1.7251
1.3675,1,1.7251
1.3711,1,1.7251
1.3748,1,1.7251
1.3784,1,1.7251
1.3820,1,1.7251
1.3856,1,1.7251
1.3892,1,1.7251
1.3928,1,1.7251
1.3964,1,1.7251
1.4000,1,1.7251
1.4036,1,1.7251
1.4071,1,1.7251
1.4107,1,1.7251
1.4142,1,1.7251
1.4177,1,1.7251
1.4213,1,1.7251
1.4248,1,1.7251
1.4283,1,1.7251
1.4318,1,1.7251
1.4353,1,1.7251
1.4387,1,1.7251
1.4422,1,1.7251
1.4457,1,1.7251
1.4491,1,1.7251
1.4526,1,1.7251
1.4560,1,1.7251
1.4595,1,1.7251
1.4629,1,1.7251
1.4663,1,1.7251
1.4697,1,1.7251
1.4731,1,1.7251
1.4765,1,1.7251
1.4799,1,1.7251
1.4832,1,1.7251
1.4866,1,1.7251
1.4900,1,1.7251
1.4933,1,1.7251
1.4967,1,1.7251
1.5000,1,1.7251
1.5033,1,1.7251
1.5067,1,1.7251
1.5100,1,1.7251
1.5133,1,1.7251
1.5166,1,1.7251
1.5199,1,1.7251
1.5232,1,1.7251
1.5264,1,1.7251
1.5297,1,1.7251
1.5330,1,1.7251
1.5362,1,1.7251
1.5395,1,1.7251
1.5427,1,1.7251
1.5460,1,1.7251
1.5492,1,1.7251
1.5524,1,1.7251
1.5556,1,1.7251
1.5588,1,1.7251
1.5620,1,1.7251
1.5652,1,1.7251
1.5684,1,1.7251
1.5716,1,1.7251
1.5748,1,1.7251
1.5780,1,1.7251
1.5811,1,1.7251
1.5843,1,1.7251
1.5875,1,1.7251
1.5906,1,1.7251
1.5937,1,1.7251
1.5969,1,1.7251
1.6000,1,1.7251
1.6031,1,1.7251
1.6062,1,1.7251
1.6093,1,1.7251
1.6125,1,1.7251
1.6155,1,1.7251
1.6186,1,1.7251
1.6217,1,1.7251
1.6248,1,1.7251
1.6279,1,1.7251
1.6310,1,1.7251
1.6340,1,1.7251
1.6371,1,1.7251
1.6401,1,1.7251
1.6432,1,1.7251
1.6462,1,1.7251
1.6492,1,1.7251
1.6523,1,1.7251
1.6553,1,1.7251
1.6583,1,1.7251
1.6613,1,1.7251
1.6643,1,1.7251
1.6673,1,1.7251
1.6703,1,1.7251
1.6733,1,1.7251
1.6763,1,1.7251
1.6793,1,1.7251
1.6823,1,1.7251
1.6852,1,1.7251
1.6882,1,1.7251
1.6912,1,1.7251
1.6941,1,1.7251
1.6971,1,1.7251
1.7000,1,1.7251
1.7029,1,1.7251
1.7059,1,1.7251
1.7088,1,1.7251
1.7117,1,1.7251
1.7146,1,1.7251
1.7176,1,1.7251
1.7205,1,1.7251
1.7234,1,1.7251
1.7263,1,1.7251
1.7292,1,1.7251
1.7321,1,1.7251
1.7349,1,1.7251
1.7378,1,1.7251
1.7407,1,1.7251
1.7436,1,1.7251
1.7464,1,1.7251
1.7493,1,1.7251
1.7521,1,1.7251
1.7550,1,3.3462
1.7578,1,3.3462
1.7607,1,3.3462
1.7635,1,3.3462
1.7664,1,3.3462
1.7692,1,3.3462
1.7720,1,3.3462
1.7748,1,3.3462
1.7776,1,3.3462
1.7804,1,3.3462
1.7833,1,3.3462
1.7861,1,3.3462
1.7889,1,3.3462
1.7916,1,3.3462
1.7944,1,3.3462
1.7972,1,3.3462
1.8000,1,3.3462
1.8028,1,3.3462
1.8055,1,3.3462
1.8083,1,3.3462
1.8111,1,3.3462
1.8138,1,3.3462
1.8166,1,3.3462
1.8193,1,3.3462
1.8221,1,3.3462
1.8248,1,3.3462
1.8276,1,3.3462
1.8303,1,3.3462
1.8330,1,3.3462
1.8358,1,3.3462
1.8385,1,3.3462
1.8412,1,3.3462
1.8439,1,3.3462
1.8466,1,3.3462
1.8493,1,3.3462
1.8520,1,3.3462
1.8547,1,3.3462
1.8574,1,3.3462
1.8601,1,3.3462
1.8628,1,3.3462
1.8655,1,3.3462
1.8682,1,3.3462
1.8708,1,3.3462
1.8735,1,3.3462
1.8762,1,3.3462
1.8788,1,3.3462
1.8815,1,3.3462
1.8841,1,3.3462
1.8868,1,3.3462
1.8894,1,3.3462
1.8921,1,3.3462
1.8947,1,3.3462
1.8974,1,3.3462
1.9000,1,3.3462
1.9026,1,3.3462
1.9053,1,3.3462
1.9079,1,3.3462
1.9105,1,3.3462
1.9131,1,3.3462
1.9157,1,3.3462
1.9183,1,3.3462
1.9209,1,3.3462
1.9235,1,3.3462
1.9261,1,3.3462
1.9287,1,3.3462
1.9313,1,3.3462
1.9339,1,3.3462
1.9365,1,3.3462
1.9391,1,3.3462
1.9416,1,3.3462
1.9442,1,3.3462
1.9468,1,3.3462
1.9494,1,3.3462
1.9519,1,3.3462
1.9545,1,3.3462
1.9570,1,3.3462
1.9596,1,3.3462
1.9621,1,3.3462
1.9647,1,3.3462
1.9672,1,3.3462
1.9698,1,3.3462
1.9723,1,3.3462
1.9748,1,3.3462
1.9774,1,3.3462
1.9799,1,3.5867
1.9824,1,3.5867
1.9849,1,3.5867
1.9875,1,3.5867
1.9900,1,3.5867
1.9925,1,3.5867
1.9950,1,3.5867
1.9975,1,3.5867
2.0000,1,3.5867
